username,feedback,score,at,app_version
"Jayadi Sihombing, S.Pt","App ini mantap betul, gk kecewa.",5,2024-03-13 8:50:28,4.1.0
Tami Pranowo,"Gagal terus, tolong dong diperbaiki!",2,2024-09-15 6:16:34,4.1.0
Cahyadi Pudjiastuti,"Aduh app-nya error mulu, ga bener.",1,2024-03-25 3:53:42,4.1.0
"Prayoga Najmudin, S.Sos",Aplikasinya suka ngelag parah,2,2024-04-13 18:52:09,4.1.0
Oni Natsir,"App ini mantap betul, gk kecewa.",4,2024-01-30 8:44:45,4.1.0
Kartika Jailani,,2,2024-05-03 4:19:00,4.1.0
Cut Carla Ramadan,"Gak bisa checkout, tolong perbaiki dong!",2,2024-07-18 4:04:49,4.1.0
Galang Yuliarti,"Payah, gk bisa dipake sama sekali.",3,2024-02-20 20:24:22,4.1.0
Marsito Putra,"Lancar jaya bro, gk ada error.",5,2024-09-26 21:28:29,4.1.0
Ade Winarno,Lambat banget! ga enak dipake,1,2024-02-19 4:27:49,4.1.0
"Gangsa Pangestu, M.Ak","Sering eror, ga recommended.",3,2024-09-10 15:28:24,4.1.0
Opan Pradana,"Mantap, semuanya lancar.",4,2024-07-17 15:32:30,4.1.0
Hasna Puspita,"App-nya keren, mantul!",4,2024-07-27 23:01:29,4.1.0
Vanesa Wibowo,"Lemot bgt app ini, fix uninstall.",1,2024-05-07 20:29:57,4.1.0
"KH. Opan Jailani, M.Ak","Males banget, tiap buka loading terus.",3,2024-02-06 10:18:53,4.1.0
Karman Kusmawati,"Pokoknya juara, the best dah.",5,2024-08-28 4:12:23,4.1.0
Asmuni Mandasari,"Aduh app-nya error mulu, ga bener.",2,2024-10-02 3:44:19,4.1.0
Edi Hutasoit,Udah nyoba berkali-kali tetep gk bisa.,1,2024-10-02 14:12:52,4.1.0
"Dt. Artawan Rajata, S.Ked",Lambat banget! ga enak dipake,2,2024-10-24 0:19:38,4.1.0
Ulva Sitompul,"Sipp, gk ada masalah, mantap.",4,2024-03-22 19:52:25,4.1.0
Kasiran Najmudin,"Sering eror, ga recommended.",3,2024-06-01 7:50:34,4.1.0
"drg. Belinda Siregar, S.IP","Payah, gk bisa dipake sama sekali.",3,2024-05-04 19:12:13,4.1.0
Bakda Laksmiwati,Aplikasinya suka ngelag parah,1,2024-02-20 8:56:15,4.1.0
"Oni Prastuti, M.Ak","Sipp, gk ada masalah, mantap.",4,2024-06-08 21:00:56,4.1.0
Drs. Hesti Dongoran,"Gak bisa checkout, tolong perbaiki dong!",2,2024-07-02 8:16:54,4.1.0
Eja Mardhiyah,"Sering eror, ga recommended.",3,2024-02-19 5:51:48,4.1.0
T. Tasdik Widiastuti,,4,2024-06-11 22:20:33,4.1.0
"Nyoman Siregar, S.Farm",Aplikasinya suka ngelag parah,1,2024-06-06 18:45:21,4.1.0
"Cut Jelita Lestari, M.Kom.",Udah nyoba berkali-kali tetep gk bisa.,3,2024-06-08 1:31:59,4.1.0
Yance Latupono,"Gagal terus, tolong dong diperbaiki!",2,2024-05-02 6:31:03,4.1.0
Hani Nuraini,"Sipp, gk ada masalah, mantap.",4,2024-05-31 5:56:22,4.1.0
Nurul Pranowo,Aplikasinya suka ngelag parah,3,2024-08-09 9:46:18,4.1.0
"Hj. Ade Nainggolan, M.TI.","Aduh app-nya error mulu, ga bener.",1,2024-05-19 14:46:14,4.1.0
Gangsa Kuswandari,"Lemot bgt app ini, fix uninstall.",1,2024-04-04 19:37:50,4.1.0
Lintang Widodo,"App ini mantap betul, gk kecewa.",5,2024-08-12 12:29:31,4.1.0
Hj. Citra Sihombing,"Sipp, gk ada masalah, mantap.",5,2024-04-04 13:19:22,4.1.0
"Warta Hidayanto, S.Pd","Pokoknya juara, the best dah.",5,2024-07-08 12:33:47,4.1.0
"Mila Puspasari, S.IP","Gak bisa checkout, tolong perbaiki dong!",3,2024-04-04 2:29:44,4.1.0
Kenes Rahmawati,"Gak bisa checkout, tolong perbaiki dong!",1,2024-08-04 21:30:06,4.1.0
"dr. Zelaya Hakim, M.TI.","Gak bisa checkout, tolong perbaiki dong!",2,2024-07-13 7:07:19,4.1.0
Radika Ardianto,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-04-27 15:20:35,4.1.0
Hj. Yance Waskita,"Gagal terus, tolong dong diperbaiki!",2,2024-06-02 23:22:23,4.1.0
Jaka Hutapea,Udah nyoba berkali-kali tetep gk bisa.,3,2024-05-11 1:25:02,4.1.0
Estiawan Sihombing,Lambat banget! ga enak dipake,2,2024-10-15 4:52:33,4.1.0
Yunita Thamrin,"App-nya keren, mantul!",5,2024-06-26 3:34:15,4.1.0
R. Adika Sitorus,"App ini mantap betul, gk kecewa.",5,2024-06-06 21:06:44,4.1.0
"Tgk. Alambana Damanik, M.Ak","Sipp, gk ada masalah, mantap.",4,2024-10-02 14:45:13,4.1.0
Ir. Raden Wastuti,"Sipp, gk ada masalah, mantap.",5,2024-04-15 1:12:02,4.1.0
"Pardi Marbun, S.Sos",Udah nyoba berkali-kali tetep gk bisa.,1,2024-04-08 10:21:42,4.1.0
Vera Tarihoran,"Aduh app-nya error mulu, ga bener.",3,2024-08-13 8:26:23,4.1.0
"Maras Napitupulu, S.Gz","Gak bisa checkout, tolong perbaiki dong!",3,2024-03-03 8:52:38,4.1.0
Galak Rahimah,"Males banget, tiap buka loading terus.",3,2024-03-30 23:19:55,4.1.0
drg. Ivan Sitompul,"Payah, gk bisa dipake sama sekali.",2,2024-02-24 6:59:56,4.1.0
Elvin Maheswara,"App-nya keren, mantul!",4,2024-05-03 23:44:20,4.1.0
Aris Tampubolon,"Payah, gk bisa dipake sama sekali.",2,2024-05-06 17:20:55,4.1.0
Cawuk Oktaviani,"Lemot bgt app ini, fix uninstall.",1,2024-07-21 1:55:26,4.1.0
Purwa Lazuardi,"App ini mantap betul, gk kecewa.",5,2024-02-17 23:09:02,4.1.0
"Ir. Farah Tampubolon, M.Ak","Mantul, pokoknya aplikasi ini juara deh!",5,2024-05-08 14:13:34,4.1.0
"Aisyah Aryani, S.E.","Gagal terus, tolong dong diperbaiki!",1,2024-06-04 3:57:15,4.1.0
"Gangsar Hutapea, S.Pd","Pokoknya juara, the best dah.",5,2024-06-23 6:11:16,4.1.0
"Almira Siregar, S.Pd","Mantap, semuanya lancar.",5,2024-08-28 15:31:40,4.1.0
Ir. Elvin Sihombing,Udah nyoba berkali-kali tetep gk bisa.,1,2024-04-29 6:12:07,4.1.0
Uli Hastuti,"App-nya keren, mantul!",5,2024-08-22 22:58:06,4.1.0
Cut Kartika Permadi,"App-nya keren, mantul!",4,2024-08-07 1:00:35,4.1.0
dr. Bella Mulyani,"Cepat dan responsif, saya suka.",5,2024-05-16 20:13:13,4.1.0
Omar Nasyiah,"Layanan memuaskan, fitur lengkap.",4,2024-05-08 14:20:12,4.1.0
"Silvia Hardiansyah, S.Sos","Aduh app-nya error mulu, ga bener.",1,2024-09-14 4:18:52,4.1.0
Aris Pudjiastuti,"Sipp, gk ada masalah, mantap.",4,2024-07-29 17:00:31,4.1.0
"Elisa Ardianto, M.M.","Gagal terus, tolong dong diperbaiki!",2,2024-09-30 18:20:59,4.1.0
"Jati Yuniar, S.Gz","Pokoknya juara, the best dah.",4,2024-09-26 17:09:10,4.1.0
Xanana Kusumo,"Lancar jaya bro, gk ada error.",4,2024-02-01 1:22:07,4.1.0
Radit Iswahyudi,"Sipp, gk ada masalah, mantap.",5,2024-03-15 11:42:00,4.1.0
Puti Hasna Aryani,Udah nyoba berkali-kali tetep gk bisa.,2,2024-02-08 4:56:50,4.1.0
Tiara Suartini,"App-nya keren, mantul!",5,2024-07-14 14:46:40,4.1.0
Paris Suwarno,"Pokoknya juara, the best dah.",5,2024-05-13 14:05:17,4.1.0
"Hj. Patricia Utama, M.Farm",,3,2024-09-14 20:52:57,4.1.0
Uli Hutapea,"Layanan memuaskan, fitur lengkap.",4,2024-09-17 18:22:04,4.1.0
Galuh Santoso,Udah nyoba berkali-kali tetep gk bisa.,2,2024-03-04 9:06:20,4.1.0
"Jelita Hassanah, M.Kom.","Sering eror, ga recommended.",2,2024-10-13 22:41:29,4.1.0
Cecep Sudiati,Udah nyoba berkali-kali tetep gk bisa.,2,2024-10-18 8:47:02,4.1.0
T. Rudi Widiastuti,"Gak bisa checkout, tolong perbaiki dong!",3,2024-01-16 7:27:59,4.1.0
Maida Laksmiwati,"Gagal terus, tolong dong diperbaiki!",3,2024-04-14 5:15:46,4.1.0
Tina Nasyidah,"Mantap, semuanya lancar.",4,2024-02-24 21:39:36,4.1.0
Ir. Vero Sihotang,"Sipp, gk ada masalah, mantap.",5,2024-09-03 7:18:35,4.1.0
Irwan Laksmiwati,Aplikasinya suka ngelag parah,2,2024-09-23 19:13:39,4.1.0
Candrakanta Mangunsong,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-09-03 15:19:02,4.1.0
"Raisa Gunarto, S.Pd","Sipp, gk ada masalah, mantap.",4,2024-09-19 4:16:02,4.1.0
Puti Hasna Kusumo,"Aduh app-nya error mulu, ga bener.",1,2024-09-13 11:32:23,4.1.0
"Ajeng Wacana, M.Kom.","Gak bisa checkout, tolong perbaiki dong!",2,2024-03-04 2:20:30,4.1.0
Paris Adriansyah,"App-nya keren, mantul!",5,2024-07-12 5:58:41,4.1.0
Diah Sirait,Lambat banget! ga enak dipake,2,2024-10-03 7:43:19,4.1.0
Ade Sinaga,Lambat banget! ga enak dipake,3,2024-07-10 3:54:21,4.1.0
Muni Hakim,"Aduh app-nya error mulu, ga bener.",2,2024-05-14 15:20:59,4.1.0
Raihan Yolanda,"Sering eror, ga recommended.",2,2024-09-03 10:33:48,4.1.0
"Puti Putri Novitasari, M.TI.","Males banget, tiap buka loading terus.",3,2024-03-08 21:09:26,4.1.0
Silvia Wulandari,"Sipp, gk ada masalah, mantap.",5,2024-10-16 22:31:13,4.1.0
Safina Prakasa,"Gak bisa checkout, tolong perbaiki dong!",1,2024-03-15 14:28:58,4.1.0
"dr. Maida Kusmawati, S.Kom",,2,2024-03-05 22:32:09,4.1.0
Raden Iswahyudi,"Aduh app-nya error mulu, ga bener.",2,2024-06-06 21:58:22,4.1.0
"Radit Mangunsong, M.Pd","Payah, gk bisa dipake sama sekali.",3,2024-09-17 21:18:51,4.1.0
"R.M. Mahmud Januar, S.Kom","Gak bisa checkout, tolong perbaiki dong!",2,2024-07-31 18:05:28,4.1.0
"Dr. Maimunah Irawan, S.Ked",,5,2024-07-23 13:38:59,4.1.0
"Najam Usada, M.M.","App-nya keren, mantul!",5,2024-01-01 4:47:44,4.1.0
Septi Manullang,"Gagal terus, tolong dong diperbaiki!",1,2024-05-05 4:41:12,4.1.0
Rachel Nashiruddin,"Payah, gk bisa dipake sama sekali.",3,2024-03-16 13:50:39,4.1.0
"Cut Indah Saefullah, S.Psi","Sering eror, ga recommended.",3,2024-07-21 11:05:17,4.1.0
Drs. Puspa Waluyo,Aplikasinya bagus banget!,4,2024-06-24 15:27:15,4.1.0
"Cut Carla Wasita, S.Sos",Udah nyoba berkali-kali tetep gk bisa.,3,2024-07-10 5:13:26,4.1.0
Belinda Rahimah,Lambat banget! ga enak dipake,1,2024-01-29 13:10:20,4.1.0
"Tugiman Dabukke, S.Pt","Aduh app-nya error mulu, ga bener.",1,2024-03-04 7:55:55,4.1.0
Elvina Mansur,"Gagal terus, tolong dong diperbaiki!",3,2024-09-07 11:32:59,4.1.0
Maras Pradipta,"Mantap, semuanya lancar.",5,2024-09-15 9:22:50,4.1.0
Dr. Irsad Damanik,"Gak bisa checkout, tolong perbaiki dong!",2,2024-05-13 18:27:37,4.1.0
"R.M. Jasmani Usamah, S.Sos","Layanan memuaskan, fitur lengkap.",5,2024-08-07 18:27:46,4.1.0
Rama Marpaung,"App ini mantap betul, gk kecewa.",4,2024-01-01 11:41:31,4.1.0
"H. Tasdik Anggriawan, M.Farm","Lancar jaya bro, gk ada error.",4,2024-07-19 20:54:54,4.1.0
Keisha Prakasa,Lambat banget! ga enak dipake,2,2024-02-08 22:32:15,4.1.0
Vanya Mangunsong,"Gak bisa checkout, tolong perbaiki dong!",2,2024-10-13 21:31:19,4.1.0
Puji Saptono,"App-nya keren, mantul!",4,2024-03-23 21:22:31,4.1.0
"Aurora Nurdiyanti, M.Pd",Aplikasinya suka ngelag parah,1,2024-05-11 16:35:53,4.1.0
"Drs. Diah Ramadan, M.Kom.","Aduh app-nya error mulu, ga bener.",2,2024-09-01 1:11:45,4.1.0
Fathonah Wahyudin,"Gak bisa checkout, tolong perbaiki dong!",2,2024-10-24 4:24:43,4.1.0
"KH. Darmaji Hartati, S.Pd","Lemot bgt app ini, fix uninstall.",3,2024-03-14 15:15:16,4.1.0
Ajiono Astuti,Aplikasinya suka ngelag parah,1,2024-01-05 22:10:50,4.1.0
"Nadia Astuti, S.E.I","Gagal terus, tolong dong diperbaiki!",1,2024-01-17 2:56:03,4.1.0
Jais Uwais,"Lemot bgt app ini, fix uninstall.",3,2024-05-13 16:58:20,4.1.0
"R.M. Kariman Wacana, M.M.","Males banget, tiap buka loading terus.",1,2024-03-26 17:55:01,4.1.0
Syahrini Mulyani,"Cepat dan responsif, saya suka.",4,2024-01-18 23:30:33,4.1.0
Fitriani Maryati,Aplikasinya bagus banget!,4,2024-04-05 4:59:48,4.1.0
Edi Hasanah,Aplikasinya bagus banget!,5,2024-10-23 14:35:29,4.1.0
Cahyanto Rahimah,"Gak bisa checkout, tolong perbaiki dong!",1,2024-02-20 22:53:51,4.1.0
"drg. Salwa Purwanti, M.Pd","Males banget, tiap buka loading terus.",1,2024-01-30 1:29:48,4.1.0
"Dr. Iriana Usamah, S.Sos",Aplikasinya suka ngelag parah,1,2024-05-07 12:50:18,4.1.0
"Puti Ophelia Haryanti, M.Kom.","Sipp, gk ada masalah, mantap.",5,2024-01-30 7:23:47,4.1.0
"Rahmi Mardhiyah, M.M.","Sering eror, ga recommended.",2,2024-08-20 21:03:02,4.1.0
"T. Kajen Nasyidah, S.IP","Sipp, gk ada masalah, mantap.",5,2024-02-09 11:04:03,4.1.0
Kamila Novitasari,"Gak bisa checkout, tolong perbaiki dong!",3,2024-02-01 7:40:50,4.1.0
Hj. Ophelia Utami,"Sering eror, ga recommended.",1,2024-01-06 0:19:16,4.1.0
Maya Dongoran,"Mantap, semuanya lancar.",5,2024-01-27 1:22:56,4.1.0
"dr. Qori Natsir, S.IP",,4,2024-04-18 9:20:28,4.1.0
Kawaya Laksita,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-06-16 12:20:22,4.1.0
"Tgk. Gandi Gunarto, S.I.Kom","Lemot bgt app ini, fix uninstall.",3,2024-01-20 15:36:52,4.1.0
Carla Hartati,"Males banget, tiap buka loading terus.",2,2024-01-15 11:33:41,4.1.0
"Kamal Fujiati, S.I.Kom","Lancar jaya bro, gk ada error.",5,2024-06-18 23:04:05,4.1.0
Manah Hutapea,"Payah, gk bisa dipake sama sekali.",3,2024-01-28 10:51:04,4.1.0
"R.A. Karimah Samosir, M.Kom.","Payah, gk bisa dipake sama sekali.",1,2024-01-10 17:08:58,4.1.0
Karsa Saefullah,"App ini mantap betul, gk kecewa.",4,2024-06-07 20:39:27,4.1.0
Lidya Farida,"Payah, gk bisa dipake sama sekali.",3,2024-10-03 19:51:42,4.1.0
Puti Kamila Kurniawan,Aplikasinya suka ngelag parah,1,2024-09-23 7:21:11,4.1.0
"Galur Wijaya, S.Pt","Payah, gk bisa dipake sama sekali.",3,2024-08-02 16:48:59,4.1.0
"Jasmin Hutagalung, S.H.","Lemot bgt app ini, fix uninstall.",3,2024-01-02 6:06:02,4.1.0
Cut Laila Winarno,"Payah, gk bisa dipake sama sekali.",2,2024-09-22 23:07:53,4.1.0
Raina Susanti,"Males banget, tiap buka loading terus.",3,2024-10-23 21:41:09,4.1.0
Zaenab Hastuti,Udah nyoba berkali-kali tetep gk bisa.,3,2024-05-26 0:12:54,4.1.0
Dt. Irsad Maryadi,"Mantap, semuanya lancar.",4,2024-01-14 20:54:38,4.1.0
"drg. Artawan Yuniar, S.IP","Pokoknya juara, the best dah.",5,2024-06-19 5:12:11,4.1.0
"Bella Hutapea, S.Ked","Lancar jaya bro, gk ada error.",5,2024-08-16 14:00:48,4.1.0
Kezia Thamrin,Lambat banget! ga enak dipake,1,2024-10-06 19:55:42,4.1.0
R. Wulan Haryanto,"Layanan memuaskan, fitur lengkap.",5,2024-01-15 21:57:32,4.1.0
"Zelda Marpaung, M.Pd","Aduh app-nya error mulu, ga bener.",1,2024-07-09 0:56:12,4.1.0
Mustofa Purnawati,"App ini mantap betul, gk kecewa.",4,2024-07-31 2:54:05,4.1.0
"Bagiya Siregar, S.Psi",Udah nyoba berkali-kali tetep gk bisa.,1,2024-09-10 22:42:06,4.1.0
"Emin Prasasta, M.Pd","Males banget, tiap buka loading terus.",3,2024-05-08 8:38:59,4.1.0
"dr. Yunita Mulyani, M.M.","App ini mantap betul, gk kecewa.",4,2024-05-04 16:39:33,4.1.0
Gantar Iswahyudi,"Gak bisa checkout, tolong perbaiki dong!",2,2024-03-25 16:18:50,4.1.0
R.M. Koko Pradipta,"Aduh app-nya error mulu, ga bener.",1,2024-09-24 8:23:48,4.1.0
Keisha Sudiati,"Males banget, tiap buka loading terus.",1,2024-09-15 1:59:59,4.1.0
Enteng Damanik,"Sipp, gk ada masalah, mantap.",5,2024-01-18 2:37:03,4.1.0
Paris Suryono,"Gak bisa checkout, tolong perbaiki dong!",3,2024-05-16 14:22:37,4.1.0
Rini Rajasa,"Layanan memuaskan, fitur lengkap.",4,2024-06-01 4:42:04,4.1.0
Danang Wahyudin,"Lemot bgt app ini, fix uninstall.",1,2024-04-20 7:10:18,4.1.0
"R.A. Tantri Riyanti, M.Farm","Mantul, pokoknya aplikasi ini juara deh!",4,2024-02-15 5:29:35,4.1.0
Rangga Sudiati,"Males banget, tiap buka loading terus.",3,2024-02-17 12:57:54,4.1.0
Limar Rahmawati,"Lemot bgt app ini, fix uninstall.",3,2024-10-13 20:24:34,4.1.0
"Tgk. Kamal Riyanti, S.Sos","Sering eror, ga recommended.",3,2024-05-11 13:33:09,4.1.0
Syahrini Nurdiyanti,"Lancar jaya bro, gk ada error.",4,2024-05-22 14:32:24,4.1.0
Raihan Pertiwi,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-04-15 14:28:08,4.1.0
Puspa Uyainah,Udah nyoba berkali-kali tetep gk bisa.,3,2024-08-01 3:38:44,4.1.0
Rachel Sitompul,"Sering eror, ga recommended.",2,2024-02-23 12:01:13,4.1.0
Karen Prasetya,Lambat banget! ga enak dipake,3,2024-03-16 19:28:57,4.1.0
Kasiyah Hasanah,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-05-24 14:47:05,4.1.0
Alika Jailani,"Pokoknya juara, the best dah.",4,2024-04-27 12:53:03,4.1.0
drg. Oni Winarno,"Gak bisa checkout, tolong perbaiki dong!",2,2024-10-04 1:04:55,4.1.0
"Zalindra Usada, S.Pd","Cepat dan responsif, saya suka.",5,2024-08-23 19:08:54,4.1.0
Elma Prakasa,"Lancar jaya bro, gk ada error.",4,2024-07-30 19:24:50,4.1.0
Bakijan Prasetya,"Males banget, tiap buka loading terus.",1,2024-07-13 17:43:05,4.1.0
Alika Damanik,"Pokoknya juara, the best dah.",4,2024-10-09 21:35:00,4.1.0
Hafshah Kuswoyo,"Sipp, gk ada masalah, mantap.",4,2024-06-23 5:54:39,4.1.0
Cut Lili Ardianto,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-09-01 21:51:39,4.1.0
Ibun Wibisono,"Lemot bgt app ini, fix uninstall.",1,2024-04-29 5:27:48,4.1.0
Ir. Pandu Irawan,"Lancar jaya bro, gk ada error.",4,2024-05-06 13:52:02,4.1.0
"dr. Siti Latupono, S.Kom","Cepat dan responsif, saya suka.",4,2024-10-03 21:44:55,4.1.0
Jelita Kurniawan,"Layanan memuaskan, fitur lengkap.",5,2024-02-10 7:19:12,4.1.0
drg. Siti Namaga,"Payah, gk bisa dipake sama sekali.",3,2024-09-26 15:43:07,4.1.0
Hj. Ana Sinaga,Lambat banget! ga enak dipake,2,2024-10-19 14:50:53,4.1.0
Respati Widodo,Lambat banget! ga enak dipake,2,2024-03-06 17:15:11,4.1.0
"Mariadi Tamba, S.H.","Gak bisa checkout, tolong perbaiki dong!",3,2024-10-12 6:38:20,4.1.0
drg. Lurhur Puspasari,Aplikasinya bagus banget!,5,2024-09-03 10:13:41,4.1.0
Simon Setiawan,Udah nyoba berkali-kali tetep gk bisa.,3,2024-09-13 7:00:41,4.1.0
Dr. Silvia Yulianti,"Sipp, gk ada masalah, mantap.",5,2024-02-08 18:15:01,4.1.0
Himawan Sudiati,Aplikasinya suka ngelag parah,1,2024-05-02 12:11:13,4.1.0
"Yessi Utami, M.Farm","Payah, gk bisa dipake sama sekali.",2,2024-10-04 5:05:30,4.1.0
"Dadap Saefullah, M.Farm","Mantap, semuanya lancar.",4,2024-08-24 19:11:29,4.1.0
Marwata Laksmiwati,Aplikasinya bagus banget!,5,2024-04-14 22:56:14,4.1.0
R. Utama Mansur,"Males banget, tiap buka loading terus.",2,2024-07-09 22:27:31,4.1.0
Cut Unjani Hutapea,"Aduh app-nya error mulu, ga bener.",1,2024-06-14 4:12:02,4.1.0
Paiman Saefullah,"App-nya keren, mantul!",5,2024-01-13 9:28:06,4.1.0
R.A. Zulfa Setiawan,"Layanan memuaskan, fitur lengkap.",5,2024-10-18 19:39:20,4.1.0
Betania Utami,"Gak bisa checkout, tolong perbaiki dong!",2,2024-01-24 8:45:33,4.1.0
R.M. Darimin Mayasari,Lambat banget! ga enak dipake,3,2024-10-03 2:18:52,4.1.0
Paiman Winarno,"Mantap, semuanya lancar.",5,2024-01-10 16:03:31,4.1.0
Nurul Mayasari,"Lemot bgt app ini, fix uninstall.",1,2024-10-24 1:39:59,4.1.0
Dr. Dasa Marbun,Aplikasinya suka ngelag parah,1,2024-07-10 19:18:09,4.1.0
Nadine Sirait,"Payah, gk bisa dipake sama sekali.",1,2024-10-15 11:55:12,4.1.0
Kenari Haryanto,"Lemot bgt app ini, fix uninstall.",3,2024-01-22 14:41:02,4.1.0
Kasiyah Sihombing,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-05-05 4:13:47,4.1.0
Zulfa Wacana,"App-nya keren, mantul!",4,2024-04-04 13:24:19,4.1.0
Rafi Saragih,"Lemot bgt app ini, fix uninstall.",1,2024-04-12 10:32:02,4.1.0
Uli Mahendra,"App-nya keren, mantul!",5,2024-04-19 12:12:47,4.1.0
Zalindra Siregar,"Sipp, gk ada masalah, mantap.",5,2024-07-20 16:25:41,4.1.0
"Titin Utama, S.E.I","Lancar jaya bro, gk ada error.",4,2024-09-28 19:33:44,4.1.0
Vicky Marbun,"Aduh app-nya error mulu, ga bener.",2,2024-05-18 1:08:07,4.1.0
"Hj. Kartika Pertiwi, S.Psi","Gagal terus, tolong dong diperbaiki!",3,2024-07-13 19:38:24,4.1.0
Dalimin Nurdiyanti,Udah nyoba berkali-kali tetep gk bisa.,3,2024-02-06 12:01:32,4.1.0
Puji Utami,"Mantap, semuanya lancar.",5,2024-10-03 23:03:36,4.1.0
Rina Haryanti,"Sipp, gk ada masalah, mantap.",5,2024-07-07 10:02:06,4.1.0
Salsabila Firgantoro,Aplikasinya bagus banget!,4,2024-04-15 13:39:46,4.1.0
"Cahya Haryanti, S.Pt","Gagal terus, tolong dong diperbaiki!",3,2024-08-01 22:38:20,4.1.0
Olivia Aryani,"Gak bisa checkout, tolong perbaiki dong!",2,2024-05-01 7:40:49,4.1.0
"Laras Latupono, M.Kom.",Lambat banget! ga enak dipake,3,2024-05-30 1:58:02,4.1.0
"Narji Wahyuni, S.Sos","Aduh app-nya error mulu, ga bener.",1,2024-08-17 16:18:39,4.1.0
Paramita Rahmawati,"Cepat dan responsif, saya suka.",5,2024-05-13 9:31:19,4.1.0
"Cut Maria Rahimah, M.Farm","Sering eror, ga recommended.",2,2024-03-13 16:41:49,4.1.0
Balidin Fujiati,"Pokoknya juara, the best dah.",5,2024-04-06 16:25:06,4.1.0
Umi Utami,"Aduh app-nya error mulu, ga bener.",1,2024-05-17 15:20:21,4.1.0
"R. Zelda Prayoga, S.Ked","Payah, gk bisa dipake sama sekali.",3,2024-08-07 7:45:00,4.1.0
Hj. Eka Prayoga,"Sering eror, ga recommended.",2,2024-03-15 22:07:02,4.1.0
Humaira Sitompul,"Sering eror, ga recommended.",3,2024-07-03 10:25:47,4.1.0
Samiah Waskita,"Lancar jaya bro, gk ada error.",4,2024-10-02 19:24:15,4.1.0
Darijan Hariyah,"Males banget, tiap buka loading terus.",2,2024-10-22 20:38:01,4.1.0
Usyi Saragih,"Payah, gk bisa dipake sama sekali.",2,2024-02-27 19:52:29,4.1.0
"Puti Maya Dongoran, S.I.Kom","Payah, gk bisa dipake sama sekali.",3,2024-02-21 7:25:54,4.1.0
Sari Marbun,Udah nyoba berkali-kali tetep gk bisa.,3,2024-05-26 0:51:18,4.1.0
Warsita Sihotang,,5,2024-02-27 22:56:27,4.1.0
Cahyadi Kurniawan,Aplikasinya bagus banget!,5,2024-05-07 4:12:04,4.1.0
"Tania Rajata, S.E.","Payah, gk bisa dipake sama sekali.",1,2024-09-17 2:39:51,4.1.0
"R.A. Eli Kurniawan, S.Sos",Lambat banget! ga enak dipake,1,2024-02-12 21:09:20,4.1.0
"Asirwada Santoso, M.Ak","Sipp, gk ada masalah, mantap.",5,2024-08-23 1:22:44,4.1.0
H. Joko Mandasari,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-10-03 19:18:18,4.1.0
Ophelia Mandasari,"App ini mantap betul, gk kecewa.",5,2024-03-23 1:17:00,4.1.0
R. Jumari Sudiati,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-09-05 7:39:42,4.1.0
Lembah Saragih,Aplikasinya suka ngelag parah,3,2024-03-10 0:49:43,4.1.0
"Cut Anastasia Mayasari, M.Ak","Sipp, gk ada masalah, mantap.",4,2024-03-24 21:44:07,4.1.0
"Kiandra Siregar, S.T.","Males banget, tiap buka loading terus.",2,2024-04-11 3:45:49,4.1.0
Dt. Nugraha Rajasa,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-07-19 1:32:04,4.1.0
Kayun Mulyani,Udah nyoba berkali-kali tetep gk bisa.,2,2024-02-10 4:49:12,4.1.0
"Dr. Sari Wulandari, S.T.","Gak bisa checkout, tolong perbaiki dong!",2,2024-03-06 0:19:28,4.1.0
Hamima Aryani,Aplikasinya suka ngelag parah,2,2024-03-24 0:35:24,4.1.0
KH. Atma Agustina,"Gak bisa checkout, tolong perbaiki dong!",1,2024-02-20 11:15:20,4.1.0
"Yuliana Simbolon, S.Ked","Gak bisa checkout, tolong perbaiki dong!",1,2024-05-27 20:37:37,4.1.0
"Tgk. Patricia Nasyidah, M.Pd","Males banget, tiap buka loading terus.",2,2024-02-27 6:05:14,4.1.0
Usyi Mayasari,"Sering eror, ga recommended.",3,2024-10-14 4:18:19,4.1.0
Alika Mustofa,"App ini mantap betul, gk kecewa.",5,2024-03-01 7:43:14,4.1.0
"Najwa Nainggolan, S.Psi",Aplikasinya suka ngelag parah,2,2024-02-02 9:46:49,4.1.0
Karsa Firmansyah,"Gak bisa checkout, tolong perbaiki dong!",1,2024-09-27 19:29:11,4.1.0
Among Irawan,"Gagal terus, tolong dong diperbaiki!",2,2024-04-02 23:22:37,4.1.0
R.A. Ratna Andriani,Lambat banget! ga enak dipake,2,2024-06-04 15:51:12,4.1.0
Gina Waskita,Aplikasinya bagus banget!,5,2024-03-12 4:56:07,4.1.0
Tania Zulkarnain,"App-nya keren, mantul!",4,2024-09-11 20:57:35,4.1.0
